"","link","nombre","direccion","localidad","provincia","pais","telefono","google_link","coordenadas","web_oficial"
"52","http://www.alternativateatral.com.ar/espacio1941-parroquia-santa-rosa-de-lima","PARROQUIA SANTA ROSA DE LIMA","calle 25 de Mayo 257","Castelli","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=calle+25+de+Mayo+257%2C+Castelli%2C+Argentina","0","NaN"
"53","http://www.alternativateatral.com.ar/espacio2298-sala-de-la-escuela-de-arte","SALA DE LA ESCUELA DE ARTE","Avellaneda Nº 127","Chacabuco","Buenos Aires","Argentina","(02352) 45 1062 / 42 8240","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Avellaneda+N%C2%BA+127%2C+Chacabuco%2C+Argentina","0","NaN"
"54","http://www.alternativateatral.com.ar/espacio3315-complejo-turistico-rct","COMPLEJO TURÍSTICO RCT","Ruta 11 km 545.5","Chapadmalal","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Ruta+11+km+545%2E5%2C+Chapadmalal%2C+Argentina","0","NaN"
"55","http://www.alternativateatral.com.ar/espacio2296-la-botica-de-1852","LA BOTICA DE 1852","Cramer 223","Chascomús","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Cramer+223%2C+Chascom%C3%BAs%2C+Argentina","0","NaN"
"56","http://www.alternativateatral.com.ar/espacio2585-arvum-i","ARVUM I","Paso de la Patria 650","Chivilcoy","Buenos Aires","Argentina","02346510362","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Paso+de+la+Patria+650%2C+Chivilcoy%2C+Argentina","0","NaN"
"57","http://www.alternativateatral.com.ar/espacio2224-azul-redondo","AZUL  REDONDO","e/ Cno. Belg.  y  21 A","City Bell","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=e%2F+Cno%2E+Belg%2E++y++21+A%2C+City+Bell%2C+Argentina","0","NaN"
"58","http://www.alternativateatral.com.ar/espacio2961-arkhe-teatro-estudio","ARKHÈ TEATRO ESTUDIO","Circunscripción 4ª, Sección 3ª, Manzana 12, Casa 9,","Ciudad Evita","Buenos Aires","Argentina","(00 54 11) 4620-3334","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Circunscripci%C3%B3n+4%C2%AA%2C+Secci%C3%B3n+3%C2%AA%2C+Manzana+12%2C+Casa+9%2C%2C+Ciudad+Evita%2C+Argentina","0","NaN"
"59","http://www.alternativateatral.com.ar/espacio2663-biblioteca-popular-ciudad-jardin","BIBLIOTECA POPULAR CIUDAD JARDÍN","Av. Boulevard Finca 6558","Ciudad Jardín Lomas de Palomar","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av%2E+Boulevard+Finca+6558%2C+Ciudad+Jard%C3%ADn+Lomas+de+Palomar%2C+Argentina","0","NaN"
"60","http://www.alternativateatral.com.ar/espacio7125-brujula-al-oeste","BRÚJULA AL OESTE","Av Maipú 3911","Ciudadela","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av+Maip%C3%BA+3911%2C+Ciudadela%2C+Argentina","0","NaN"
"61","http://www.alternativateatral.com.ar/espacio6203-la-casa-espacio-de-debate-cultura","LA CASA ESPACIO DE DEBATE & CULTURA","Rodolfo Collet 1021","Claypole","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Rodolfo+Collet+1021%2C+Claypole%2C+Argentina","0","NaN"
"62","http://www.alternativateatral.com.ar/espacio3044-teatro-municipal-de-coronel-dorrego","TEATRO MUNICIPAL DE CORONEL DORREGO","Av. Fuertes 630","Coronel Dorrego","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av%2E+Fuertes+630%2C+Coronel+Dorrego%2C+Argentina","0","NaN"
"63","http://www.alternativateatral.com.ar/espacio3436-taller-441","TALLER 441","BELGRANO 441","Coronel Pringles","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=BELGRANO+441%2C+Coronel+Pringles%2C+Argentina","0","NaN"
"64","http://www.alternativateatral.com.ar/espacio4469-cine-teatro-italia","CINE TEATRO ITALIA","Mitre 1263","Coronel Suarez","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Mitre+1263%2C+Coronel+Suarez%2C+Argentina","0","NaN"
"65","http://www.alternativateatral.com.ar/espacio1135-salon-municipal","SALON MUNICIPAL","Levalle 140","Daireaux","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Levalle+140%2C+Daireaux%2C+Argentina","0","NaN"
"66","http://www.alternativateatral.com.ar/espacio7255-direccion-de-juventud","DIRECCIÓN DE JUVENTUD","Buenos Aires y Alem","Dolores","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Buenos+Aires+y+Alem%2C+Dolores%2C+Argentina","0","NaN"
"67","http://www.alternativateatral.com.ar/espacio5123-espacio-tutuca","ESPACIO TUTUCA","Paraguay 444","Don Torcuato","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Paraguay+444%2C+Don+Torcuato%2C+Argentina","0","NaN"
"68","http://www.alternativateatral.com.ar/espacio4375-cafe-jardin","CAFE JARDIN","De Los Geranios 6180 - LOCAL 27","El Palomar","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=De+Los+Geranios+6180+%2D+LOCAL+27%2C+El+Palomar%2C+Argentina","0","NaN"
"69","http://www.alternativateatral.com.ar/espacio6529-allegro-ma-non-troppo","ALLEGRO MA NON TROPPO","Merced 322","Ensenada - La Plata","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Merced+322%2C+Ensenada+%2D+La+Plata%2C+Argentina","0","NaN"
"70","http://www.alternativateatral.com.ar/espacio1194-el-cazador","EL CAZADOR","Kennedy 946","Escobar","Buenos Aires","Argentina","(03488) 48-7398 / (011) 15-4938-8005","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Kennedy+946%2C+Escobar%2C+Argentina","0","NaN"
"71","http://www.alternativateatral.com.ar/espacio7308-centro-cultural-amigo-nestor-kirchner","CENTRO CULTURAL AMIGO NESTOR KIRCHNER","Nicolas Avellaneda 53","Ezeiza","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Nicolas+Avellaneda+53%2C+Ezeiza%2C+Argentina","0","NaN"
"72","http://www.alternativateatral.com.ar/espacio6627-auditorio-biblioteca-sarmiento","AUDITORIO BIBLIOTECA SARMIENTO","Boccuzzi 97","Florencio Varela","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Boccuzzi+97%2C+Florencio+Varela%2C+Argentina","0","NaN"
"73","http://www.alternativateatral.com.ar/espacio2234-centro-cultural-paseo-quinta-trabucco","CENTRO CULTURAL PASEO QUINTA TRABUCCO","MELO 3050 - FLORIDA","Florida","Buenos Aires","Argentina","4513-1954","https://maps.google.com/maps?f=q&hl=es&geocode=&q=MELO+3050+%2D+FLORIDA%2C+Florida%2C+Argentina","0","NaN"
"74","http://www.alternativateatral.com.ar/espacio6649-el-granero-de-las-palmas","EL GRANERO DE LAS PALMAS","Centenario 277","Garin Partido de Escobar","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Centenario+277%2C+Garin+Partido+de+Escobar%2C+Argentina","0","NaN"
"75","http://www.alternativateatral.com.ar/espacio6804-3-de-febrero","3 DE FEBRERO","3 de Febrero","Gba","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=3+de+Febrero%2C+Gba%2C+Argentina","0","NaN"
"76","http://www.alternativateatral.com.ar/espacio3637-cine-teatro-espanol","CINE TEATRO ESPAÑOL","Rivadavia 700","General Belgrano","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Rivadavia+700%2C+General+Belgrano%2C+Argentina","0","NaN"
"77","http://www.alternativateatral.com.ar/espacio5283-auditorium-municipal","AUDITORIUM MUNICIPAL","Av. Villamayor 250","General Las Heras","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av%2E+Villamayor+250%2C+General+Las+Heras%2C+Argentina","0","NaN"
"78","http://www.alternativateatral.com.ar/espacio2892-lucrecia-larrondo-casa-de-la-cultura-de-la-municipalidad-de-general-madariaga","LUCRECIA LARRONDO - CASA DE LA CULTURA DE LA MUNICIPALIDAD DE GENERAL MADARIAGA","Dr Carlos Madariaga y Alberti","General Madariaga","Buenos Aires","Argentina","02267 553303","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Dr+Carlos+Madariaga+y+Alberti%2C+General+Madariaga%2C+Argentina","0","NaN"
"79","http://www.alternativateatral.com.ar/espacio1738-biblioteca-jj-castelli","BIBLIOTECA J.J. CASTELLI","Av. Cordoba 625","General Pacheco (Tigre)","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Av%2E+Cordoba+625%2C+General+Pacheco+%28Tigre%29%2C+Argentina","0","NaN"
"80","http://www.alternativateatral.com.ar/espacio6799-almazen-de-teatro","ALMAZEN DE TEATRO","Brown 448","General Pinto","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Brown+448%2C+General+Pinto%2C+Argentina","0","NaN"
"81","http://www.alternativateatral.com.ar/espacio6216-aapro-asociacion-de-artistas-plasticos-rodriguenses","A.A.P.R.O. ASOCIACIÓN DE ARTISTAS PLÁSTICOS RODRIGUENSES","Pedro Whelan esquina M. Moreno","General Rodriguez","Buenos Aires","Argentina","NaN","https://maps.google.com/maps?f=q&hl=es&geocode=&q=Pedro+Whelan+esquina+M%2E+Moreno%2C+General+Rodriguez%2C+Argentina","0","NaN"
